plz;ort;bezirk;bundesland;gueltigab;gueltigbis;plztyp;internextern;adressierbar;postfach
1010;Wien;"Wien  1.,Innere Stadt";W;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
1020;Wien;"Wien  2.,Leopoldstadt";W;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
1030;Wien;"Wien  3.,Landstraße";W;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
1040;Wien;"Wien  4.,Wieden";W;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
1050;Wien;"Wien  5.,Margareten";W;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
1060;Wien;"Wien  6.,Mariahilf";W;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
1070;Wien;"Wien  7.,Neubau";W;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
1080;Wien;"Wien  8.,Josefstadt";W;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
1090;Wien;"Wien  9.,Alsergrund";W;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
1100;Wien;"Wien 10.,Favoriten";W;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
1110;Wien;"Wien 11.,Simmering";W;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
1120;Wien;"Wien 12.,Meidling";W;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
1130;Wien;"Wien 13.,Hietzing";W;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
1140;Wien;Tulln;W;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
1140;Wien;"Sankt Pölten(Land)";W;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
1140;Wien;"Wien 14.,Penzing";W;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
1150;Wien;"Wien 15.,Rudolfsheim-Fünfhaus";W;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
1160;Wien;"Wien 16.,Ottakring";W;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
1170;Wien;"Wien 17.,Hernals";W;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
1170;Wien;"Wien 16.,Ottakring";W;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
1180;Wien;"Wien 18.,Währing";W;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
1190;Wien;"Wien 18.,Währing";W;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
1190;Wien;"Wien 19.,Döbling";W;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
1190;Wien;Tulln;W;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
1200;Wien;"Wien 20.,Brigittenau";W;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
1210;Wien;Korneuburg;W;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
1210;Wien;"Wien 21.,Floridsdorf";W;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
1220;Wien;"Wien 22.,Donaustadt";W;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
1230;Wien;"Wien 23.,Liesing";W;"1972-01-01";;"PLZ-Adressierung";extern;Ja;Ja
